SITE_NAME,BEGIN,END,KWH_PERIOD,PERIOD_EUR,NB_OF_INVOICES,DUREE,KWH,CONSOMMATION
0023KO,2019-01-01,2019-01-31,1 535,"213,61",35,30,1535,51.166666666666664
0023KO,2019-01-02,2019-02-28,1 383,"193,30",35,57,1383,24.263157894736842
0023KO,2019-01-03,2019-03-31,1 527,"212,54",35,87,1527,17.551724137931036
0023KO,2019-01-04,2019-04-30,1 492,"207,86",35,116,1492,12.862068965517242
0023KO,2019-01-05,2019-05-31,1 706,"236,46",35,146,1706,11.684931506849315
0023KO,2019-01-06,2019-06-30,1 688,"234,05",35,175,1688,9.645714285714286
0023KO,2019-01-07,2019-07-31,1 718,"238,06",35,205,1718,8.38048780487805
0023KO,2019-01-08,2019-08-31,1 736,"240,47",35,235,1736,7.3872340425531915
0023KO,2019-01-09,2019-09-30,1 651,"229,11",35,264,1651,6.253787878787879
0023KO,2019-01-10,2019-10-31,1 695,"234,99",35,294,1695,5.76530612244898
0023KO,2019-01-11,2019-11-30,1 630,"226,30",35,323,1630,5.046439628482972
0023KO,2019-01-12,2019-12-31,1 677,"232,58",35,353,1677,4.7507082152974505
0023KO,2020-01-01,2020-01-31,1 676,"231,56",35,30,1676,55.86666666666667
0023KO,2020-01-02,2020-02-29,1 626,"224,93",35,58,1626,28.03448275862069
0023KO,2020-01-03,2020-03-31,1 831,"252,09",35,88,1831,20.806818181818183
0023KO,2020-01-04,2020-04-30,1 945,"267,19",35,117,1945,16.623931623931625
0023KO,2020-01-05,2020-05-31,2 007,"275,41",35,147,2007,13.653061224489797
0023KO,2020-01-06,2020-06-30,1 948,"267,59",35,176,1948,11.068181818181818
0023KO,2020-01-07,2020-07-31,2 027,"278,05",35,206,2027,9.839805825242719
0023KO,2020-01-08,2020-08-31,2 049,"280,97",35,236,2049,8.682203389830509
0023KO,2020-01-09,2020-09-30,1 953,"268,25",35,265,1953,7.369811320754717
0023KO,2020-01-10,2020-10-31,2 008,"275,54",35,295,2008,6.806779661016949
0023KO,2020-01-11,2020-11-30,1 958,"259,38",35,324,1958,6.04320987654321
0024BB,2018-01-01,2018-12-31,46 178,"5 763,21",2,364,0,0.0
0024BB,2019-01-01,2019-12-31,43 685,"5 275,53",2,364,0,0.0
0024BR,2018-01-01,2018-01-31,1 964,"218,98",35,30,1964,65.46666666666667
0024BR,2018-01-02,2018-02-28,1 932,"215,13",35,57,1932,33.89473684210526
0024BR,2018-01-03,2018-03-31,2 037,"226,51",35,87,2037,23.413793103448278
0024BR,2018-01-04,2018-04-30,1 926,"214,86",35,116,1926,16.603448275862068
0024BR,2018-01-05,2018-05-31,2 024,"225,17",35,146,2024,13.863013698630137
0024BR,2018-01-06,2018-06-30,1 990,"221,49",35,175,1990,11.371428571428572
0024BR,2018-01-07,2018-07-31,2 076,"230,70",35,205,2076,10.126829268292683
0024BR,2018-01-08,2018-08-31,2 148,"238,30",35,235,2148,9.140425531914893
0024BR,2018-01-09,2018-09-30,1 958,"219,68",35,264,1958,7.416666666666667
0024BR,2018-01-10,2018-10-31,1 986,"222,71",35,294,1986,6.755102040816326
0024BR,2018-01-11,2018-11-30,1 941,"217,76",35,323,1941,6.0092879256965945
0024BR,2018-01-12,2018-12-31,2 031,"227,31",35,353,2031,5.753541076487252
0024BR,2019-01-01,2019-01-31,2 147,"233,83",35,30,2147,71.56666666666666
0024BR,2019-01-02,2019-02-28,1 827,"200,72",35,57,1827,32.05263157894737
0024BR,2019-01-03,2019-03-31,1 971,"215,88",35,87,1971,22.655172413793103
0024BR,2019-01-04,2019-04-30,1 914,"209,91",35,116,1914,16.5
0024BR,2019-01-05,2019-05-31,1 985,"217,29",35,146,1985,13.595890410958905
0024BR,2019-01-06,2019-06-30,2 058,"224,74",35,175,2058,11.76
0024BR,2019-01-07,2019-07-31,2 194,"238,01",35,205,2194,10.702439024390245
0024BR,2019-01-08,2019-08-31,2 096,"223,94",35,235,2096,8.919148936170213
0024BR,2019-01-09,2019-09-30,1 904,"203,83",35,264,1904,7.212121212121212
0024BR,2019-01-10,2019-10-31,1 971,"210,65",35,294,1971,6.704081632653061
0024BR,2019-01-11,2019-11-30,1 899,"203,32",35,323,1899,5.879256965944273
0024BR,2019-01-12,2019-12-31,1 917,"205,15",35,353,1917,5.430594900849858
0024BR,2020-01-01,2020-01-31,1 935,"246,59",35,30,1935,64.5
0024BR,2020-01-02,2020-02-29,1 832,"233,99",35,58,1832,31.586206896551722
0024BR,2020-01-03,2020-03-31,1 973,"250,02",35,88,1973,22.420454545454547
0024BR,2020-01-04,2020-04-30,1 985,"251,48",35,117,1985,16.965811965811966
0024BR,2020-01-05,2020-05-31,2 043,"258,54",35,147,2043,13.89795918367347
0024BR,2020-01-06,2020-06-30,2 008,"254,28",35,176,2008,11.409090909090908
0024BR,2020-01-07,2020-07-31,2 129,"269,00",35,206,2129,10.33495145631068
0024BR,2020-01-08,2020-08-31,2 134,"269,61",35,236,2134,9.042372881355933
0024BR,2020-01-09,2020-09-30,2 040,"258,17",35,265,2040,7.69811320754717
0024BR,2020-01-10,2020-10-31,2 093,"264,62",35,295,2093,7.094915254237288
0024BR,2020-01-11,2020-11-30,1 997,"243,03",35,324,1997,6.16358024691358
0024KO,2018-01-01,2018-01-31,1 299,"188,91",34,30,1299,43.3
0024KO,2018-01-02,2018-02-28,1 059,"158,45",34,57,1059,18.57894736842105
0024KO,2018-01-03,2018-03-31,1 191,"176,26",34,87,1191,13.689655172413794
0024KO,2018-01-04,2018-04-30,999,"151,82",34,116,99,0.853448275862069
0024KO,2018-01-05,2018-05-31,1 201,"177,53",34,146,1201,8.226027397260275
0024KO,2018-01-06,2018-06-30,1 182,"175,11",34,175,1182,6.7542857142857144
0024KO,2018-01-07,2018-07-31,1 090,"163,48",34,205,1090,5.317073170731708
0024KO,2018-01-08,2018-08-31,1 565,"223,98",34,235,1565,6.659574468085107
0024KO,2018-01-09,2018-09-30,868,"135,20",34,264,88,0.3333333333333333
0024KO,2018-01-10,2018-10-31,1 139,"169,72",34,294,1139,3.8741496598639458
0024KO,2018-01-11,2018-11-30,1 192,"176,47",34,323,1192,3.6904024767801857
0024KO,2018-01-12,2018-12-31,1 267,"186,02",34,353,1267,3.5892351274787537
0024KO,2019-01-01,2019-01-31,1 369,"197,66",34,30,1369,45.63333333333333
0024KO,2019-01-02,2019-02-28,1 134,"168,01",34,57,1134,19.894736842105264
0024KO,2019-01-03,2019-03-31,1 318,"202,97",34,87,1318,15.149425287356323
0024KO,2019-01-04,2019-04-30,1 168,"182,72",34,116,1168,10.068965517241379
0024KO,2019-01-05,2019-05-31,1 376,"210,80",34,146,1376,9.424657534246576
0024KO,2019-01-06,2019-06-30,1 225,"190,41",34,175,1225,7.0
0024KO,2019-01-07,2019-07-31,1 428,"217,82",34,205,1428,6.965853658536585
0024KO,2019-01-08,2019-08-31,1 173,"183,40",34,235,1173,4.991489361702127
0024KO,2019-01-09,2019-09-30,1 445,"220,11",34,264,1445,5.473484848484849
0024KO,2019-01-10,2019-10-31,1 239,"192,30",34,294,1239,4.214285714285714
0024KO,2019-01-11,2019-11-30,1 401,"214,17",34,323,1401,4.337461300309598
0024KO,2019-01-12,2019-12-31,1 167,"182,59",34,353,1167,3.3059490084985836
0024KO,2020-01-01,2020-01-31,1 311,"203,76",34,30,1311,43.7
0024KO,2020-01-02,2020-02-29,1 361,"210,47",34,58,1361,23.46551724137931
0024KO,2020-01-03,2020-03-31,1 299,"202,15",34,88,1299,14.761363636363637
0024KO,2020-01-04,2020-04-30,1 427,"219,31",34,117,1427,12.196581196581196
0024KO,2020-01-05,2020-05-31,1 706,"256,72",34,147,1706,11.605442176870747
0024KO,2020-01-06,2020-06-30,1 276,"199,07",34,176,1276,7.25
0024KO,2020-01-07,2020-07-31,1 538,"234,20",34,206,1538,7.466019417475728
0024KO,2020-01-08,2020-08-31,1 542,"234,73",34,236,1542,6.533898305084746
0024KO,2020-01-09,2020-09-30,1 566,"237,95",34,265,1566,5.909433962264151
0024KO,2020-01-10,2020-10-31,1 634,"247,07",34,295,1634,5.538983050847458
0025BB,2018-01-01,2018-01-31,1 007,"134,51",35,30,1007,33.56666666666667
0025BB,2018-01-02,2018-02-28,947,"126,78",35,57,97,1.7017543859649122
0025BB,2018-01-03,2018-03-31,985,"129,60",35,87,95,1.0919540229885059
0025BB,2018-01-04,2018-04-30,889,"118,11",35,116,89,0.7672413793103449
0025BB,2018-01-05,2018-05-31,980,"129,59",35,146,90,0.6164383561643836
0025BB,2018-01-06,2018-06-30,1 000,"132,43",35,175,1000,5.714285714285714
0025BB,2018-01-07,2018-07-31,1 067,"140,84",35,205,1067,5.204878048780488
0025BB,2018-01-08,2018-08-31,883,"118,23",35,235,83,0.35319148936170214
0025BB,2018-01-09,2018-09-30,1 171,"155,12",35,264,1171,4.4356060606060606
0025BB,2018-01-10,2018-10-31,1 305,"172,19",35,294,1305,4.438775510204081
0025BB,2018-01-11,2018-11-30,1 129,"149,75",35,323,1129,3.4953560371517027
0025BB,2018-01-12,2018-12-31,1 173,"155,34",35,353,1173,3.322946175637394
0025BB,2019-01-01,2019-01-31,1 176,"149,09",35,30,1176,39.2
0025BB,2019-01-02,2019-02-28,1 067,"136,04",35,57,1067,18.719298245614034
0025BB,2019-01-03,2019-03-31,1 158,"146,87",35,87,1158,13.310344827586206
0025BB,2019-01-04,2019-04-30,1 107,"140,77",35,116,1107,9.543103448275861
0025BB,2019-01-05,2019-05-31,1 141,"144,93",35,146,1141,7.815068493150685
0025BB,2019-01-06,2019-06-30,1 129,"143,76",35,175,1129,6.451428571428571
0025BB,2019-01-07,2019-07-31,1 159,"147,42",35,205,1159,5.6536585365853655
0025BB,2019-01-08,2019-08-31,1 163,"147,85",35,235,1163,4.948936170212766
0025BB,2019-01-09,2019-09-30,1 097,"139,76",35,264,1097,4.15530303030303
0025BB,2019-01-10,2019-10-31,1 138,"144,64",35,294,1138,3.870748299319728
0025BB,2019-01-11,2019-11-30,1 102,"140,27",35,323,1102,3.411764705882353
0025BB,2019-01-12,2019-12-31,1 149,"145,86",35,353,1149,3.254957507082153
0025BB,2020-01-01,2020-01-31,1 151,"167,80",35,30,1151,38.36666666666667
0025BB,2020-01-02,2020-02-29,1 074,"157,12",35,58,1074,18.517241379310345
0025BB,2020-01-03,2020-03-31,1 144,"166,74",35,88,1144,13.0
0025BB,2020-01-04,2020-04-30,1 113,"161,97",35,117,1113,9.512820512820513
0025BB,2020-01-05,2020-05-31,1 161,"168,78",35,147,1161,7.8979591836734695
0025BB,2020-01-06,2020-06-30,1 133,"164,33",35,176,1133,6.4375
0025BB,2020-01-07,2020-07-31,1 186,"172,66",35,206,1186,5.757281553398058
0025BB,2020-01-08,2020-08-31,1 189,"173,07",35,236,1189,5.038135593220339
0025BB,2020-01-09,2020-09-30,1 129,"164,54",35,265,1129,4.260377358490566
0025BB,2020-01-10,2020-10-31,1 162,"168,81",35,295,1162,3.9389830508474577
0025BB,2020-01-11,2020-11-30,1 142,"158,09",35,324,1142,3.5246913580246915
0025BR,2018-01-01,2018-01-31,2 821,"315,47",35,30,2821,94.03333333333333
0025BR,2018-01-02,2018-02-28,2 538,"284,93",35,57,2538,44.526315789473685
0025BR,2018-01-03,2018-03-31,2 830,"316,24",35,87,2830,32.52873563218391
0025BR,2018-01-04,2018-04-30,2 875,"319,28",35,116,2875,24.78448275862069
0025BR,2018-01-05,2018-05-31,3 032,"335,49",35,146,3032,20.767123287671232
0025BR,2018-01-06,2018-06-30,2 967,"328,07",35,175,2967,16.954285714285714
0025BR,2018-01-07,2018-07-31,3 099,"342,04",35,205,3099,15.117073170731707
0025BR,2018-01-08,2018-08-31,3 148,"346,72",35,235,3148,13.395744680851063
0025BR,2018-01-09,2018-09-30,2 586,"282,64",35,264,2586,9.795454545454545
0025BR,2018-01-10,2018-10-31,2 598,"280,10",35,294,2598,8.83673469387755
0025BR,2018-01-11,2018-11-30,2 851,"306,55",35,323,2851,8.826625386996904
0025BR,2018-01-12,2018-12-31,2 939,"315,67",35,353,2939,8.325779036827196
0025BR,2019-01-01,2019-01-31,2 952,"309,34",35,30,2952,98.4
0025BR,2019-01-02,2019-02-28,2 697,"283,57",35,57,2697,47.31578947368421
0025BR,2019-01-03,2019-03-31,3 040,"318,53",35,87,3040,34.94252873563219
0025BR,2019-01-04,2019-04-30,2 910,"305,27",35,116,2910,25.086206896551722
0025BR,2019-01-05,2019-05-31,3 044,"318,96",35,146,3044,20.84931506849315
0025BR,2019-01-06,2019-06-30,3 065,"321,21",35,175,3065,17.514285714285716
0025BR,2019-01-07,2019-07-31,3 075,"322,05",35,205,3075,15.0
0025BR,2019-01-08,2019-08-31,3 156,"330,45",35,235,3156,13.429787234042553
0025BR,2019-01-09,2019-09-30,2 954,"309,83",35,264,2954,11.18939393939394
0025BR,2019-01-10,2019-10-31,3 055,"320,11",35,294,3055,10.391156462585034
0025BR,2019-01-11,2019-11-30,2 759,"289,71",35,323,2759,8.541795665634675
0025BR,2019-01-12,2019-12-31,2 597,"273,09",35,353,2597,7.356940509915014
0025BR,2020-01-01,2020-01-31,2 600,"326,61",35,30,2600,86.66666666666667
0025BR,2020-01-02,2020-02-29,2 466,"310,22",35,58,2466,42.51724137931034
0025BR,2020-01-03,2020-03-31,2 688,"335,71",35,88,2688,30.545454545454547
0025BR,2020-01-04,2020-04-30,2 740,"342,04",35,117,2740,23.418803418803417
0025BR,2020-01-05,2020-05-31,2 802,"349,58",35,147,2802,19.06122448979592
0025BR,2020-01-06,2020-06-30,2 725,"340,21",35,176,2725,15.482954545454545
0025BR,2020-01-07,2020-07-31,2 866,"357,37",35,206,2866,13.912621359223301
0025BR,2020-01-08,2020-08-31,2 906,"362,24",35,236,2906,12.313559322033898
0025BR,2020-01-09,2020-09-30,2 788,"347,88",35,265,2788,10.520754716981132
0025BR,2020-01-10,2020-10-31,2 864,"357,13",35,295,2864,9.708474576271186
0025BR,2020-01-11,2020-11-30,2 771,"345,81",35,324,2771,8.552469135802468
0025KO,2018-01-01,2018-01-31,2 565,"316,84",35,30,2565,85.5
0025KO,2018-01-02,2018-02-28,2 303,"285,27",35,57,2303,40.40350877192982
0025KO,2018-01-03,2018-03-31,2 552,"315,28",35,87,2552,29.333333333333332
0025KO,2018-01-04,2018-04-30,2 513,"310,58",35,116,2513,21.663793103448278
0025KO,2018-01-05,2018-05-31,2 623,"323,83",35,146,2623,17.965753424657535
0025KO,2018-01-06,2018-06-30,2 555,"315,64",35,175,2555,14.6
0025KO,2018-01-07,2018-07-31,2 654,"327,75",35,205,2654,12.946341463414635
0025KO,2018-01-08,2018-08-31,2 673,"330,04",35,235,2673,11.374468085106383
0025KO,2018-01-09,2018-09-30,2 537,"315,64",35,264,2537,9.609848484848484
0025KO,2018-01-10,2018-10-31,2 593,"322,44",35,294,2593,8.819727891156463
0025KO,2018-01-11,2018-11-30,2 487,"309,57",35,323,2487,7.69969040247678
0025KO,2018-01-12,2018-12-31,2 543,"316,37",35,353,2543,7.203966005665722
0025KO,2019-01-01,2019-01-31,2 540,"347,28",35,30,2540,84.66666666666667
0025KO,2019-01-02,2019-02-28,2 304,"315,75",35,57,2304,40.421052631578945
0025KO,2019-01-03,2019-03-31,2 561,"350,09",35,87,2561,29.436781609195403
0025KO,2019-01-04,2019-04-30,2 499,"341,80",35,116,2499,21.54310344827586
0025KO,2019-01-05,2019-05-31,2 606,"356,10",35,146,2606,17.84931506849315
0025KO,2019-01-06,2019-06-30,2 616,"357,44",35,175,2616,14.948571428571428
0025KO,2019-01-07,2019-07-31,2 649,"361,85",35,205,2649,12.921951219512195
0025KO,2019-01-08,2019-08-31,2 668,"364,38",35,235,2668,11.353191489361702
0025KO,2019-01-09,2019-09-30,2 545,"347,95",35,264,2545,9.640151515151516
0025KO,2019-01-10,2019-10-31,2 612,"356,90",35,294,2612,8.884353741496598
0025KO,2019-01-11,2019-11-30,2 508,"343,01",35,323,2508,7.764705882352941
0025KO,2019-01-12,2019-12-31,2 550,"348,62",35,353,2550,7.223796033994335
0025KO,2020-01-01,2020-01-31,2 555,"347,32",35,30,2555,85.16666666666667
0025KO,2020-01-02,2020-02-29,2 404,"327,32",35,58,2404,41.44827586206897
0025KO,2020-01-03,2020-03-31,2 550,"346,66",35,88,2550,28.977272727272727
0025KO,2020-01-04,2020-04-30,2 518,"342,42",35,117,2518,21.521367521367523
0025KO,2020-01-05,2020-05-31,2 644,"359,11",35,147,2644,17.98639455782313
0025KO,2020-01-06,2020-06-30,2 713,"368,25",35,176,2713,15.414772727272727
0025KO,2020-01-07,2020-07-31,2 853,"386,80",35,206,2853,13.849514563106796
0025KO,2020-01-08,2020-08-31,2 907,"393,95",35,236,2907,12.317796610169491
0025KO,2020-01-09,2020-09-30,2 779,"377,00",35,265,2779,10.486792452830189
0025KO,2020-01-10,2020-10-31,2 844,"385,61",35,295,2844,9.640677966101695
0025KO,2020-01-11,2020-11-30,2 718,"368,91",35,324,2718,8.38888888888889
0026BB,2018-01-01,2018-01-31,2 873,"373,76",34,30,2873,95.76666666666667
0026BB,2018-01-02,2018-02-28,2 672,"347,62",34,57,2672,46.87719298245614
0026BB,2018-01-03,2018-11-03,1 394,"203,61",34,304,1394,4.5855263157894735
0026BB,2018-12-03,2018-04-30,3 706,"556,93",34,-217,3706,-17.078341013824886
0026BB,2018-01-05,2018-05-31,2 523,"311,50",34,146,2523,17.28082191780822
0026BB,2018-01-06,2018-06-30,2 571,"322,08",34,175,2571,14.691428571428572
0026BB,2018-01-07,2018-07-31,2 506,"310,09",34,205,2506,12.22439024390244
0026BB,2018-01-08,2018-08-31,2 809,"344,44",34,235,2809,11.953191489361702
0026BB,2018-01-09,2018-09-30,2 401,"300,70",34,264,2401,9.094696969696969
0026BB,2018-01-11,2018-11-30,2 612,"322,97",34,323,2612,8.086687306501547
0026BB,2018-01-12,2018-12-31,2 692,"325,73",34,353,2692,7.626062322946176
0026BB,2019-01-01,2019-01-31,2 717,"382,85",34,30,2717,90.56666666666666
0026BB,2019-01-02,2019-02-28,2 376,"349,11",34,57,2376,41.68421052631579
0026BB,2019-01-03,2019-03-31,2 587,"381,40",34,87,2587,29.735632183908045
0026BB,2019-01-04,2019-04-30,2 611,"389,22",34,116,2611,22.50862068965517
0026BB,2019-01-05,2019-05-31,2 579,"381,10",34,146,2579,17.664383561643834
0026BB,2019-01-06,2019-06-30,3 073,"458,50",34,175,3073,17.56
0026BB,2019-01-07,2019-07-31,2 718,"403,37",34,205,2718,13.258536585365853
0026BB,2019-01-08,2019-08-31,2 986,"441,99",34,235,2986,12.706382978723404
0026BB,2019-01-09,2019-09-30,2 873,"431,18",34,264,2873,10.882575757575758
0026BB,2019-01-10,2019-10-31,2 600,"387,05",34,294,2600,8.843537414965986
0026BB,2019-01-11,2019-11-30,2 746,"411,94",34,323,2746,8.5015479876161
0026BB,2019-01-12,2019-12-31,2 892,"426,19",34,353,2892,8.192634560906516
0026BB,2020-01-01,2020-01-31,2 659,"381,02",34,30,2659,88.63333333333334
0026BB,2020-01-02,2020-02-29,2 776,"395,89",34,58,2776,47.86206896551724
0026BB,2020-01-03,2020-03-31,2 614,"358,93",34,88,2614,29.704545454545453
0026BB,2020-01-04,2020-04-30,2 809,"389,89",34,117,2809,24.00854700854701
0026BB,2020-01-05,2020-05-31,2 891,"398,38",34,147,2891,19.666666666666668
0026BB,2020-01-06,2020-06-30,2 628,"363,98",34,176,2628,14.931818181818182
0026BB,2020-01-07,2020-07-31,2 961,"406,34",34,206,2961,14.37378640776699
0026BB,2020-01-08,2020-08-31,3 095,"458,33",34,236,3095,13.114406779661017
0026BB,2020-01-09,2020-09-30,2 965,"403,60",34,265,2965,11.18867924528302
0026BB,2020-01-10,2020-10-31,3 212,"413,06",34,295,3212,10.888135593220339
0026BB,2020-01-11,2020-11-30,2 853,"362,78",34,324,2853,8.805555555555555
0026BR,2018-01-01,2018-01-31,2 252,"241,94",35,30,2252,75.06666666666666
0026BR,2018-01-02,2018-02-28,2 043,"224,94",35,57,2043,35.8421052631579
0026BR,2018-01-03,2018-03-31,2 260,"247,90",35,87,2260,25.977011494252874
0026BR,2018-01-04,2018-04-30,2 229,"244,51",35,116,2229,19.21551724137931
0026BR,2018-01-05,2018-05-31,2 316,"253,67",35,146,2316,15.863013698630137
0026BR,2018-01-06,2018-06-30,2 256,"247,24",35,175,2256,12.891428571428571
0026BR,2018-01-07,2018-07-31,2 332,"255,39",35,205,2332,11.37560975609756
0026BR,2018-01-08,2018-08-31,2 349,"257,09",35,235,2349,9.995744680851065
0026BR,2018-01-09,2018-09-30,2 236,"246,98",35,264,2236,8.469696969696969
0026BR,2018-01-10,2018-10-31,2 290,"251,64",35,294,2290,7.789115646258503
0026BR,2018-01-11,2018-11-30,2 226,"241,15",35,323,2226,6.891640866873065
0026BR,2018-01-12,2018-12-31,2 619,"282,21",35,353,2619,7.419263456090651
0026BR,2019-01-01,2019-01-31,2 784,"292,13",35,30,2784,92.8
0026BR,2019-01-02,2019-02-28,2 523,"265,55",35,57,2523,44.26315789473684
0026BR,2019-01-03,2019-03-31,2 803,"294,07",35,87,2803,32.2183908045977
0026BR,2019-01-04,2019-04-30,2 727,"286,33",35,116,2727,23.50862068965517
0026BR,2019-01-05,2019-05-31,2 822,"296,00",35,146,2822,19.328767123287673
0026BR,2019-01-06,2019-06-30,2 873,"301,20",35,175,2873,16.417142857142856
0026BR,2019-01-07,2019-07-31,2 932,"307,21",35,205,2932,14.302439024390244
0026BR,2019-01-08,2019-08-31,2 946,"308,63",35,235,2946,12.536170212765958
0026BR,2019-01-09,2019-09-30,2 834,"297,23",35,264,2834,10.734848484848484
0026BR,2019-01-10,2019-10-31,2 531,"266,37",35,294,2531,8.608843537414966
0026BR,2019-01-11,2019-11-30,2 434,"256,49",35,323,2434,7.535603715170279
0026BR,2019-01-12,2019-12-31,2 499,"263,11",35,353,2499,7.079320113314448
0026BR,2020-01-01,2020-01-31,2 503,"314,75",35,30,2503,83.43333333333334
0026BR,2020-01-02,2020-02-29,2 405,"302,76",35,58,2405,41.46551724137931
0026BR,2020-01-03,2020-03-31,2 604,"325,49",35,88,2604,29.59090909090909
0026BR,2020-01-04,2020-04-30,2 606,"325,73",35,117,2606,22.273504273504273
0026BR,2020-01-05,2020-05-31,2 689,"335,83",35,147,2689,18.292517006802722
0026BR,2020-01-06,2020-06-30,2 631,"328,77",35,176,2631,14.948863636363637
0026BR,2020-01-07,2020-07-31,2 794,"348,61",35,206,2794,13.563106796116505
0026BR,2020-01-08,2020-08-31,2 850,"355,43",35,236,2850,12.076271186440678
0026BR,2020-01-09,2020-09-30,2 733,"341,19",35,265,2733,10.313207547169812
0026BR,2020-01-10,2020-10-31,2 780,"346,91",35,295,2780,9.423728813559322
0026BR,2020-01-11,2020-11-30,2 674,"325,42",35,324,2674,8.253086419753087
0026KO,2018-01-01,2018-03-31,7 040,"980,67",11,89,7040,79.10112359550561
0026KO,2018-01-04,2018-06-30,7 025,"993,81",11,177,7025,39.68926553672316
0026KO,2018-01-07,2018-09-30,7 990,"1 134,88",11,266,7990,30.037593984962406
0026KO,2018-01-10,2018-12-31,7 245,"1 019,59",11,355,7245,20.408450704225352
0026KO,2019-01-01,2019-03-31,7 125,"978,69",11,89,7125,80.0561797752809
0026KO,2019-01-04,2019-06-30,7 070,"1 121,30",11,177,7070,39.943502824858754
0026KO,2019-01-07,2019-09-30,7 400,"1 181,78",11,266,7400,27.81954887218045
0026KO,2019-01-10,2019-12-31,7 265,"1 147,14",11,355,7265,20.464788732394368
0026KO,2020-01-01,2020-03-31,7 320,"1 239,28",11,90,7320,81.33333333333333
0026KO,2020-01-04,2020-06-30,8 080,"1 391,25",11,178,8080,45.39325842696629
0026KO,2020-01-07,2020-09-30,8 970,"1 536,56",11,267,8970,33.59550561797753
0027BR,2018-01-01,2018-01-31,2 555,"306,60",35,30,2555,85.16666666666667
0027BR,2018-01-02,2018-02-28,2 373,"284,76",35,57,2373,41.63157894736842
0027BR,2018-01-03,2018-03-31,2 777,"333,24",35,87,2777,31.919540229885058
0027BR,2018-01-04,2018-04-30,2 517,"302,04",35,116,2517,21.698275862068964
0027BR,2018-01-05,2018-05-31,2 882,"345,84",35,146,2882,19.73972602739726
0027BR,2018-01-06,2018-09-07,3 078,"369,36",35,244,3078,12.614754098360656
0027BR,2018-10-07,2018-07-31,1 987,"238,44",35,-68,1987,-29.220588235294116
0027BR,2018-01-08,2018-08-31,2 789,"334,68",35,235,2789,11.86808510638298
0027BR,2018-01-09,2018-09-30,2 690,"322,80",35,264,2690,10.18939393939394
0027BR,2018-01-10,2018-10-31,2 601,"312,12",35,294,2601,8.846938775510203
0027BR,2018-01-11,2018-11-30,2 818,"338,16",35,323,2818,8.724458204334365
0027BR,2018-01-12,2018-12-31,2 552,"306,24",35,353,2552,7.229461756373937
0027BR,2019-01-01,2019-01-31,2 790,"334,80",35,30,2790,93.0
0027BR,2019-01-02,2019-02-28,2 387,"286,44",35,57,2387,41.87719298245614
0027BR,2019-01-03,2019-03-31,2 331,"279,72",35,87,2331,26.79310344827586
0027BR,2019-01-04,2019-04-30,2 407,"288,84",35,116,2407,20.75
0027BR,2019-01-05,2019-05-31,2 839,"340,68",35,146,2839,19.445205479452056
0027BR,2019-01-06,2019-06-30,2 486,"298,32",35,175,2486,14.205714285714286
0027BR,2019-01-07,2019-07-31,2 702,"324,24",35,205,2702,13.180487804878048
0027BR,2019-01-08,2019-08-31,2 806,"336,72",35,235,2806,11.940425531914894
0027BR,2019-01-09,2019-09-30,2 478,"297,36",35,264,2478,9.386363636363637
0027BR,2019-01-10,2019-10-31,3 104,"372,48",35,294,3104,10.5578231292517
0027BR,2019-01-11,2019-11-30,2 564,"307,68",35,323,2564,7.938080495356037
0027BR,2019-01-12,2019-12-31,2 544,"305,28",35,353,2544,7.206798866855524
0027BR,2020-01-01,2020-01-31,3 166,"379,92",35,30,3166,105.53333333333333
0027BR,2020-01-02,2020-02-29,2 595,"311,40",35,58,2595,44.741379310344826
0027BR,2020-01-03,2020-03-31,2 834,"340,08",35,88,2834,32.20454545454545
0027BR,2020-01-04,2020-04-30,2 659,"319,08",35,117,2659,22.726495726495727
0027BR,2020-01-05,2020-05-31,3 046,"365,52",35,147,3046,20.72108843537415
0027BR,2020-01-06,2020-06-30,2 888,"346,56",35,176,2888,16.40909090909091
0027BR,2020-01-07,2020-07-31,3 252,"390,24",35,206,3252,15.78640776699029
0027BR,2020-01-08,2020-08-31,2 985,"358,20",35,236,2985,12.648305084745763
0027BR,2020-01-09,2020-09-30,2 927,"351,24",35,265,2927,11.045283018867925
0027BR,2020-01-10,2020-10-31,3 009,"361,08",35,295,3009,10.2
0027BR,2020-01-11,2020-11-30,2 782,"333,84",35,324,2782,8.58641975308642
0027KO,2018-01-01,2018-01-31,2 185,"269,26",35,30,2185,72.83333333333333
0027KO,2018-01-02,2018-02-28,1 975,"243,96",35,57,1975,34.64912280701754
0027KO,2018-01-03,2018-03-31,2 179,"268,53",35,87,2179,25.04597701149425
0027KO,2018-01-04,2018-04-30,2 135,"263,23",35,116,2135,18.405172413793103
0027KO,2018-01-05,2018-05-31,2 233,"275,04",35,146,2233,15.294520547945206
0027KO,2018-01-06,2018-06-30,2 175,"268,05",35,175,2175,12.428571428571429
0027KO,2018-01-07,2018-07-31,2 273,"280,02",35,205,2273,11.08780487804878
0027KO,2018-01-08,2018-08-31,2 294,"282,55",35,235,2294,9.761702127659575
0027KO,2018-01-09,2018-09-30,2 158,"267,85",35,264,2158,8.174242424242424
0027KO,2018-01-10,2018-10-31,2 191,"271,86",35,294,2191,7.4523809523809526
0027KO,2018-01-11,2018-11-30,2 100,"260,82",35,323,2100,6.501547987616099
